behavior_id,behavior_name,behavior_description,behavior_why
SB130,Stores a password (or passphrase) securely,"Storing a password (or passphrase) securely means ensuring any written or saved copy of a login details (whether digital or physical) is protected from unauthorized access. This includes using encrypted storage (e.g., an approved password manager), secured physical locations (e.g., a locked drawer), or other encrypted digital formats when temporary storage is necessary.","Leaving passwords in unencrypted files, written on notes, or stored in other insecure locations makes them highly vulnerable if devices are lost, compromised, or physical access is gained."
SB131,Uses elevated privileges only when approved,"Using elevated privileges only when approved means defaulting to a standard, non-privileged account or access for routine work, and only switching to higher permissions (e.g., administrator account) for specific tasks when that use is authorized by the organization.","Using an account with elevated privileges for routine daily tasks is highly risky, as any malware encountered can also run with full administrative control over the device. This can allow it to disable security software, access or steal sensitive data from all accounts on the system, and spread across the organization's network. Therefore, using elevated privileges only for specific, approved tasks is a fundamental control to contain the potential damage from everyday threats."
SB150,Uses a password (or passphrase) that has not been compromised,"Using a password (or passphrase) that has not been compromised means selecting credentials that are not known to be exposed in publicly available data breaches, and also involves changing any existing passwords if they are identified as compromised through tools (e.g., haveibeenpwned, password manager security alerts).","Passwords that have been exposed in data breaches are actively collected, shared, and sold by cybercriminals. Attackers use these lists of compromised credentials in widespread automated attacks (e.g., ""credential stuffing"") to try and gain unauthorized access to other accounts where those passwords may have been reused. Using a password already known to be compromised offers no protection against these common threats, leaving accounts vulnerable to takeover, data theft, and financial fraud."
SB152,Authenticates with shared login details only when approved ,"Authenticating with shared login details only when approved means using a set of credentials for a specific, designated account (e.g., a team social media profile, shared software license) strictly when, and as explicitly authorized by, an organizational policy for that defined circumstance.","Using shared login details eliminates individual accountability and makes it difficult to control who has access, directly increasing the risk of unauthorized account compromise, data breaches, or misuse of services."
SB153,Opens a file only from a legitimate source ,"Opening a file only from a legitimate source means, before launching any file, first assessing its origin to confirm it is trustworthy. This involves verifying the file was obtained from a reliable sender, an official website, or a secure company system, and avoiding files from unknown or unsolicited sources.","Cybercriminals often hide malicious software (e.g., ransomware or spyware) within seemingly harmless files, like documents or images, and distribute them through untrusted websites or deceptive emails. Opening a file from an unverified or untrustworthy source can lead to device compromise and data theft, impacting both individuals and their organization."
SB154,Visits only an approved or official website,"Visiting an approved or official website means accessing only sites that are verified to be legitimate, utilize secure connections, and are either approved by the organization or widely recognized as trustworthy.","Cybercriminals create deceptive websites, often convincing impersonations of legitimate businesses or services, designed to automatically install malware (via ""drive-by downloads""), run malicious scripts, or trick people into sharing sensitive information, which can lead to device compromise, data theft, financial loss, or other cyberattacks, impacting both the individual and their organization."
SB156,Shares sensitive information only on an approved or official website or application,"Sharing sensitive information only on an approved or official website or application means an individual, before entering or uploading any confidential data (e.g., login credentials, financial details, proprietary code), first takes steps to confirm the platform's legitimacy and that its use is authorized by the organization for that type of information.","Sharing sensitive information on an unapproved or malicious platform, from deceptive phishing websites designed to steal credentials, to unapproved public AI services like Large Language Models (LLMs) that may absorb data into their training models, poses a significant and varied risk. Submitting any confidential company or personal data to such unauthorized platforms can lead to account compromise, intellectual property loss, data breaches, and regulatory violations, severely impacting both the individual and their organization."
SB159,Clicks only a legitimate link,"Clicking only a legitimate link involves assessing the context and source of the link (e.g., the trustworthiness of the sender of a message or the website hosting it) and inspecting the link's true destination (e.g., by hovering) for any signs of deception.","Cybercriminals frequently use deceptive links in emails, messages, and on websites to trick individuals into visiting malicious sites that can steal credentials, install malware, or commit fraud. Clicking on an unverified link is a primary way that account compromises and device infections occur, impacting both individuals and their organization."
SB163,Opens only a legitimate message,"Opening only a legitimate message means opening messages (e.g., emails, chats, or alerts) only when they are known or confirmed to be trustworthy; for instance, they are not phishing attempts or scams. It reflects a decision to engage with digital communications selectively, based on their authenticity and expected origin.","Cybercriminals rely on individuals opening malicious communications, like phishing emails, fake alerts, or spoofed messages, to deliver malicious links, infected attachments, or fraudulent requests. Engaging with such untrusted messages is a primary way that data breaches, malware infections, and financial loss occur, impacting both individuals and their organization."
SB164,Opens an attachment only in a legitimate message,"Opening an attachment only in a legitimate message means an individual opens an attached file only after confirming the message containing it (e.g., email, chat, alert) is trustworthy, expected, and from a known source. This involves relying on the assessed legitimacy of the entire message before engaging with any of its attachments.","Cybercriminals hide malicious software (e.g., ransomware or spyware) within email and message attachments, often using fake or compromised accounts to make the communication appear legitimate. Opening an attachment from an unverified or untrustworthy message can lead to device compromise and data theft, impacting both individuals and their organization."
SB171,Uses a work email address that has not been compromised,"Using a work email address that has not been compromised involves being aware of potential data breaches that might expose work email address and, upon learning of such an exposure or suspected compromise of the account, promptly changing relevant passwords and reporting the situation according to organizational procedures.","Work email addresses exposed in data breaches are actively harvested and used by cybercriminals to launch targeted phishing attacks. If the associated password was also weak, reused, or exposed in the same or another breach, attackers can gain direct access to the work email account. This can lead to theft of sensitive company data, unauthorized communication on behalf of the organization, or the compromise of other linked accounts, causing significant operational and reputational damage."
SB173,Uses a work email address only for a work purpose,"Using a work email address for a work purpose means only signing up to or communicating through work email when it directly relates to professional tasks, responsibilities, or services approved by the organization. This includes not using work email for unrelated personal activities or third-party services.","Using work email for personal accounts or unapproved online services increases its exposure in third-party data breaches and helps cybercriminals craft targeted phishing campaigns. Restricting work email strictly to official, approved purposes is therefore crucial to minimize these vulnerabilities and protect organizational security."
SB185,Shares sensitive information only in an approved communication channel ,"Sharing sensitive information only in an approved communication channel means ensuring confidential data is only shared in a communication method (e.g., messaging platform, file-sharing service) that is authorized by the organization and provides the security appropriate for that information's sensitivity level.","Unapproved communication channels (e.g., personal messaging apps) may lack encryption, access controls, or auditability, increasing the risk of data exposure or interception. This can lead to data breaches, loss of control over sensitive information and  regulatory non-compliance."
SB189,Uses an approved application on a work device,"Using an approved application on a work device means only installing or running software that has been authorized by the organization (e.g., through official IT channels) and avoiding unauthorised third-party software, personal applications, or unverified downloads on work systems.","Unapproved applications may introduce malware, create system vulnerabilities, or conflict with existing security controls. Using only approved software reduces the risk of compromise, helps maintain system performance, and ensures compliance with organizational policies."
SB202,Stores a document according to its classification,"Storing a document according to its classification means an individual, after identifying or assigning a document's sensitivity level (e.g., Public, Internal, Confidential, Restricted), actively chooses and uses a storage location or system that provides the security controls appropriate for that specific classification.","Storing sensitive documents without security appropriate for their classification makes them vulnerable to unauthorized access, misuse, or accidental disclosure. This can lead to data breaches, financial loss, or regulatory non-compliance."
SB203,Authenticates with biometrics ,"Authenticating with biometrics means using a unique personal physical characteristic (e.g., fingerprint, facial features, or voice pattern) for identity verification when prompted by a device, application, or service. This typically involves interacting with a built-in or connected biometric sensor, like placing a finger on a scanner or looking at a camera, to gain access or authorize an action.","Relying solely on passwords or PINs for authentication leaves accounts vulnerable, as these credentials can be forgotten, guessed, stolen. Biometric authentication (using unique traits like a fingerprint) mitigates these risks by adding a security layer that is inherently tied to the individual and significantly harder for attackers to replicate or misuse, thereby strengthening protection against unauthorized access and account compromise."
SB209,Uses an approved or official password manager application,"Using an approved or official password manager application means an individual relies on a trusted tool, authorized by their organization, to securely store, generate, and manage strong, unique passwords for their accounts.","Manually creating and remembering many strong, unique passwords for all accounts is difficult, often leading to risky habits like password reuse that leave accounts vulnerable to compromise if one is breached. An approved or official password manager application addresses this by securely storing (and often generating) numerous strong and unique passwords, thereby reducing the risk of account compromise."
SB210,Uses an approved browser-based password manager ,"Using an approved browser-based password manager means an individual relies on this integrated browser feature, when its use is authorized by their organization or aligns with policy, to securely store, generate, and manage strong, unique passwords for online accounts.","Manually creating and remembering many strong, unique passwords for all accounts is difficult, often leading to risky habits like password reuse that leave accounts vulnerable to compromise if one is breached. An approved browser-based password manager addresses this by securely storing (and often generating) numerous strong and unique passwords, thereby reducing the risk of account compromise."
SB213,Uses a device that has not been compromised,"Using a device that has not been compromised means using equipment (e.g., computer, smartphone) that is free from malware, unauthorized access, or other forms of security compromise. This involves performing protective behaviors (e.g., keeping software updated) and immediately stopping use and reporting the device to the appropriate department if any signs of potential compromise are observed.","Using a compromised device grants cybercriminals a direct gateway to steal sensitive data (e.g., login credentials), monitor user activity, spread malware further into networks, or use the device to launch other attacks, leading to financial loss, reputational damage, or regulatory penalties."
